,Topic,Words,Frequency,Timestamp
29,26,"imf表示, 布兰查德称, 三去一降一补, 徐绍史称, 国际货币基金组织",4,2011-07-14 04:48:00.000
30,27,"信念, go, panayiotou, 和小布希, 推出後大獲成功",1,2011-07-14 04:48:00.000
31,30,"不是用来炒的, 房子是用来住的, 含二手住房, 起实施, 并自周四",6,2011-07-14 04:48:00.000
32,31,"人民日报, 它还称, 傅洛曼周六称, itc应该全面审视其有关标准关键专利的裁决对公共利益的影响, chatterjee",2,2011-07-14 04:48:00.000
33,33,"radio, canada, rcinet, ca微信, 加广版权所有www",3,2011-07-14 04:48:00.000
34,35,"消息人士称, 700亿港元, 雪铁龙, 消息人士表示, 轮融资",5,2011-07-14 04:48:00.000
35,36,"分享至, 通過評量認證的災害搜救犬, 消防署表示, 台灣經歷高雄氣爆, 評量項目分為服從暨敏捷",1,2011-07-14 04:48:00.000
36,37,"為此, prosecutors, 全球檢察官防制電子犯罪網絡, 檢察官協會表示, 令國際矚目",1,2011-07-14 04:48:00.000
37,38,"1万, 3万, walk, 世界银行预估的最糟情况不会成真, 根据2013年全球奴役指数",2,2011-07-14 04:48:00.000
38,39,"自由营, 记者, 发稿, 秘书长认为昨天报道的事件应该立即进行调查, 拉贾维",3,2011-07-14 04:48:00.000
39,41,"280万辆车, bosch, 路透全新邮件产品服务, 每日财经荟萃, 开通此服务",4,2011-07-14 04:48:00.000
40,42,"但抗议者仍点燃垃圾, 委内瑞拉是拉美地区最大的原油出口国, 这是一个垂死的政府, 目前抗议活动已导致13人死亡, capriles及其他反对派领袖要求政府释放抗议领导人洛佩斯",1,2011-07-14 04:48:00.000
41,43,"美元, 欧元, 收市价, 升0, 瑞典克朗",2,2011-07-14 04:48:00.000
42,44,"404的錯誤訊息, 違反宗教, 當地民眾要存取維基百科只會看到error, 土耳其只公布了所援用的法令, 隔年還有數百個網站因類似的原因遭到封鎖",1,2011-07-14 04:48:00.000
43,48,"fitch, fitchratings, available, ratings, criteria",2,2011-07-14 04:48:00.000
44,50,"25, 50, 00, 2011年6月30日升12, 5基点",16,2011-07-14 04:48:00.000
45,51,"帕洛林表示, 宗座外方傳教會, 而許多誤解將聖座與中華人民共和國臨時協議中沒有的目標歸於其內, 來自於誤解, 但教宗認為很多事情不能操之過急",1,2011-07-14 04:48:00.000
46,53,"李弘斌攝, uni, 最近都在練游泳, grils的熱舞表演揭開序幕, 沒想到上場表現完全沒有熱開",1,2011-07-14 04:48:00.000
47,54,"之后缩减升幅, stith表示, imf, 倒掛, 32",4,2011-07-14 04:48:00.000
48,55,"印度洋最偉大的廚師, 江振誠, 八角哲學, 這一點那一點的, 從零開始",1,2011-07-14 04:48:00.000
49,56,"对巴基斯坦执政党来说, mahmood, 尽管过去一周相对平静, 陆军参谋长卡亚尼, ulf",2,2011-07-14 04:48:00.000
50,57,"group, 尋求連任的紐約市長白思豪再放利多, 創造高達210億美元經濟產出, 最新報告顯示, 信贷危机爆发之初",2,2011-07-14 04:48:00.000
51,58,"dong, energy, 公尺的巨大风力发电机组, 这个由丹麦公司, 此番则是选择将",1,2011-07-14 04:48:00.000
52,59,"中國, 高雄, 倫敦成為最受全世界求職者歡迎的城市, 41, 倫敦",2,2011-07-14 04:48:00.000
53,60,"pen, le, party, 衛報, lofven",5,2011-07-14 04:48:00.000
54,61,"伦敦, 法兰克福, 华盛顿, 布鲁塞尔, 0800",20,2011-07-14 04:48:00.000
55,64,"rs, tmsnrt, 消费, 的决心和力度没有减弱, 政府工作报告",2,2011-07-14 04:48:00.000
56,65,"同時給予哈馬斯顯著地一次打擊, 他們向加沙發動了1960次的襲擊, 但是停火期限一過之後, 還有多次拒絕緩解局勢的提議之後, 以色列正在以飛機空襲和地面以及海上艦艇炮擊的方式攻擊加沙",1,2011-07-14 04:48:00.000
57,67,"叢林, 1050905, 的勒斯特, 的主要道路, cgil",3,2011-07-14 04:48:00.000
58,68,"lefevre, sawitta, 发稿, 下台, 让您在每日清晨收到路透全球财经资讯精华和最新投资动向",4,2011-07-14 04:48:00.000
59,69,"日本, 法国, 美国, 12, 标售国库券",8,2011-07-14 04:48:00.000
60,71,"iphone, 9亿美元, 000万部, 第一季净利为180, 以及旧款iphone手机销售数量增长14",1,2011-07-14 04:48:00.000
61,72,"朝鲜新报, 朝鲜未承认粮食短缺, 且夏季有台风, suk的话称, 但去年的收成好于之前年份",1,2011-07-14 04:48:00.000
62,76,"stoxx, 和法国股市cac, 要想重返2007年水准, 但意大利股市ftse, 但法国的信用状况极好",1,2011-07-14 04:48:00.000
63,79,"特朗普表示, obamacare, 美聯社, department, 並質疑法院的判決與立場有誤",3,2011-07-14 04:48:00.000
64,-1,"10, 11, the, 2019, 不過",4023,2017-06-07 02:24:00.000
65,0,"trump, the, biden, joe, 美聯社",362,2017-06-07 02:24:00.000
66,1,"flow, 報導, nft, the, 中時新聞網",260,2017-06-07 02:24:00.000
67,2,"etf, 500, 億元, fed, 10",198,2017-06-07 02:24:00.000
68,3,"美元, 欧元, 日圆, 澳元, 新西兰元",102,2017-06-07 02:24:00.000
69,4,"台北報導, 記者, 聯合報, 按我看活動辦法, 點我下載app",201,2017-06-07 02:24:00.000
70,5,"pfizer, 疫苗, covid, 19, astrazeneca",184,2017-06-07 02:24:00.000
71,6,"聯合報, 記者, 中時, 分享, facebook",152,2017-06-07 02:24:00.000
72,7,"design, award, 劇照, 唐頓莊園, the",137,2017-06-07 02:24:00.000
73,8,"报每盎司1, 现货金, 至每盎司1, 美元, gmt",78,2017-06-07 02:24:00.000
74,9,"宗凤鸣, 单少杰, of, the, democracy",76,2017-06-07 02:24:00.000
75,10,"opec, 萬桶, 美元, wti, hk",105,2017-06-07 02:24:00.000
76,11,"16, 15, 17, 18, 20",121,2017-06-07 02:24:00.000
77,12,"aung, kyi, suu, san, min",116,2017-06-07 02:24:00.000
78,13,"反送中, 逃犯條例, 圖片版權, caption, image",105,2017-06-07 02:24:00.000
79,14,"他說, china, the, 中國, rcep",105,2017-06-07 02:24:00.000
80,15,"school, 地址, 單字, 分享, 資料圖片",105,2017-06-07 02:24:00.000
81,16,"taiwan, 新住民, 台灣, 台北報導, 蔡總統說",91,2017-06-07 02:24:00.000
82,17,"fed, 25, 50, 75, 00",58,2017-06-07 02:24:00.000
83,18,"基本法, 愛國者治港, 香港01, 國安法, 一國兩制",89,2017-06-07 02:24:00.000
84,19,"ai, nvidia, taiwan, ni, 提供",78,2017-06-07 02:24:00.000
85,20,"lukashenko, alexander, vladimir, putin, alexei",69,2017-06-07 02:24:00.000
86,21,"足以致命的极端天气撼动世界, ipcc, 苏门答腊岛燃烧的雨林, afp, 他說",74,2017-06-07 02:24:00.000
87,22,"一國兩制, 國安法, 經濟學人, 逃犯條例, 香港人權與民主法案",73,2017-06-07 02:24:00.000
88,23,"ktsf, this, schumer, chuck, pelosi",73,2017-06-07 02:24:00.000
89,24,"自由投票, the, boris, prince, royal",67,2017-06-07 02:24:00.000
90,25,"5g, 萬台, 万台, galaxy, 2021",69,2017-06-07 02:24:00.000
91,26,"gdp, oecd, 個百分點, imf, cpi",65,2017-06-07 02:24:00.000
92,27,"floyd, george, 美國示威, 黑人的命也是命, the",67,2017-06-07 02:24:00.000
93,28,"關稅, 美欧盟友, 相爱相杀, 代价几何, 2019",68,2017-06-07 02:24:00.000
94,29,"covid, 19, 新冠肺炎, 相關報導, agon",67,2017-06-07 02:24:00.000
95,30,"房子是用来住的, 不是用来炒的, com, 明報記者, 全球樓行",60,2017-06-07 02:24:00.000
96,31,"tiktok, 5g, 字節跳動, cfius, technology",64,2017-06-07 02:24:00.000
97,32,"tpe, 台北, 記者, 聯合報, ups",66,2017-06-07 02:24:00.000
98,33,"radio, canada, rcinet, ca微信, 加广版权所有www",60,2017-06-07 02:24:00.000
99,34,"covid, fed, 19, iongo, gdp",62,2017-06-07 02:24:00.000
100,35,"轮融资, pay, cabital, 万美元, http",57,2017-06-07 02:24:00.000
101,36,"少校, 台灣民眾黨臉書, keren, jbs, 翻攝自",60,2017-06-07 02:24:00.000
102,37,"起底, 羈押法, 資料圖片, court, judges",58,2017-06-07 02:24:00.000
103,38,"俄羅斯, 請點擊放大觀看, 世界衛生組織, 蘋果, who",55,2017-06-07 02:24:00.000
104,39,"al, javad, zarif, soleimani, irgc",49,2017-06-07 02:24:00.000
105,40,"凤梨, 焦钧, 點擊閱讀全文, 德国之声, 中國時報",50,2017-06-07 02:24:00.000
106,41,"jp, monet, rover, lanvin, 現代",46,2017-06-07 02:24:00.000
107,42,"bolsonaro, 我們可以黨, maduro, de, nicolas",48,2017-06-07 02:24:00.000
108,43,"小時, 萬人, fed, 褐皮書, 12",46,2017-06-07 02:24:00.000
109,44,"google, meet, facebook, 臉書, 帝吧",46,2017-06-07 02:24:00.000
110,45,"taliban, 阿富汗局勢, ghani, afghan, mullah",44,2017-06-07 02:24:00.000
111,46,"受限區域, 封區檢測, 居安抗疫, 2月2日, 2日",43,2017-06-07 02:24:00.000
112,47,"getty, 按圖放大, images, 成事指數, 轉會費",43,2017-06-07 02:24:00.000
113,48,"airport, alln, 第五名, airlines, 記者賴文萱攝",40,2017-06-07 02:24:00.000
114,49,"who, 墨西哥, covid, 法新社搜集各国当局和世界卫生组织, 從區域來看",42,2017-06-07 02:24:00.000
115,50,"lpr, 放水, 25, 武器, 個基點",22,2017-06-07 02:24:00.000
116,51,"大腦與哲學系列, 財團法人法, parolin, pietro, of",37,2017-06-07 02:24:00.000
117,52,"5g, aiot, ran, iiot, 990",37,2017-06-07 02:24:00.000
118,53,"分享, facebook, 聯合報, 按圖放大, miss",36,2017-06-07 02:24:00.000
119,54,"倒掛, brainard, fed, 10, 年期美債殖利率減",32,2017-06-07 02:24:00.000
120,55,"按圖看, eleven, lady, restaurant, 吳丁江",35,2017-06-07 02:24:00.000
121,56,"al, abdel, mohamed, fattah, ali",33,2017-06-07 02:24:00.000
122,57,"bezos, jeff, 財富, takeaway, drogerie",32,2017-06-07 02:24:00.000
123,58,"記者, 經濟日報, 11, energy, 贊助好新聞",33,2017-06-07 02:24:00.000
124,59,"推薦景點, 推薦美食, gallup, 快樂國家或地區排名, 平均單程通勤時間",31,2017-06-07 02:24:00.000
125,60,"特蕾莎, spd, cdu, party, csu",27,2017-06-07 02:24:00.000
126,61,"法兰克福, 华盛顿, 布鲁塞尔, 东京, 斯德哥尔摩",11,2017-06-07 02:24:00.000
127,62,"000, 500, 男女, 決勝, 預選",30,2017-06-07 02:24:00.000
128,63,"liza, de, ig, kate, 品牌提供",27,2017-06-07 02:24:00.000
129,64,"gdp, imf, 堅決不搞大水漫灌, ihs, rs",25,2017-06-07 02:24:00.000
130,65,"netanyahu, benjamin, gantz, benny, likud",25,2017-06-07 02:24:00.000
131,66,"蘋果, 特權法, 前立法會議員, 63836568, 了解更多",26,2017-06-07 02:24:00.000
132,67,"de, la, emmanuel, macron, 黃背心運動",23,2017-06-07 02:24:00.000
133,68,"vajiralongkorn, maha, thailand, 哈姆太郎, the",21,2017-06-07 02:24:00.000
134,69,"日本, 美国, 10, 德国, 发行细节",17,2017-06-07 02:24:00.000
135,70,"covid, ppe, sars, 19, cdc",24,2017-06-07 02:24:00.000
136,71,"iphone, pro, apple, max, 12",23,2017-06-07 02:24:00.000
137,72,"川金會, roache, 片箭, 川習會, 的結果",22,2017-06-07 02:24:00.000
138,73,"semi, 億美元, energytrend, 國際半導體產業協會, m6",23,2017-06-07 02:24:00.000
139,74,"億元, 年增, sm, 萬元, 稅後純益",22,2017-06-07 02:24:00.000
140,75,"非核家園, 歐心氣泡氫水, 遠見提供, 以核養綠, 分享",21,2017-06-07 02:24:00.000
141,76,"點或, 指數上漲, 指數下跌, dax, stoxx",20,2017-06-07 02:24:00.000
142,77,"n95, costco, 新京報, good, bacteriophage",20,2017-06-07 02:24:00.000
143,78,"000蚊, 萬元, pdx, city, imoney",20,2017-06-07 02:24:00.000
144,79,"000個, daca, 拜登團隊表示, 公共負擔, immigrantfood",17,2017-06-07 02:24:00.000
